dp[40]:54, k:4, vi:6, wi:9, si:4
dp[39]:42, k:1, vi:6, wi:9, si:4
dp[39]:51, k:2, vi:6, wi:9, si:4
dp[39]:51, k:3, vi:6, wi:9, si:4
dp[39]:54, k:4, vi:6, wi:9, si:4
dp[38]:42, k:1, vi:6, wi:9, si:4
dp[38]:42, k:2, vi:6, wi:9, si:4
dp[38]:45, k:3, vi:6, wi:9, si:4
dp[38]:51, k:4, vi:6, wi:9, si:4
dp[37]:42, k:1, vi:6, wi:9, si:4
dp[37]:42, k:2, vi:6, wi:9, si:4
dp[37]:45, k:3, vi:6, wi:9, si:4
dp[37]:51, k:4, vi:6, wi:9, si:4
dp[36]:42, k:1, vi:6, wi:9, si:4
dp[36]:42, k:2, vi:6, wi:9, si:4
dp[36]:45, k:3, vi:6, wi:9, si:4
dp[36]:51, k:4, vi:6, wi:9, si:4
dp[35]:42, k:1, vi:6, wi:9, si:4
dp[35]:42, k:2, vi:6, wi:9, si:4
dp[35]:45, k:3, vi:6, wi:9, si:4
dp[35]:45, k:4, vi:6, wi:9, si:4
dp[34]:42, k:1, vi:6, wi:9, si:4
dp[34]:42, k:2, vi:6, wi:9, si:4
dp[34]:45, k:3, vi:6, wi:9, si:4
dp[34]:45, k:4, vi:6, wi:9, si:4
dp[33]:42, k:1, vi:6, wi:9, si:4
dp[33]:42, k:2, vi:6, wi:9, si:4
dp[33]:45, k:3, vi:6, wi:9, si:4
dp[33]:45, k:4, vi:6, wi:9, si:4
dp[32]:33, k:1, vi:6, wi:9, si:4
dp[32]:36, k:2, vi:6, wi:9, si:4
dp[32]:42, k:3, vi:6, wi:9, si:4
dp[32]:42, k:4, vi:6, wi:9, si:4
dp[31]:33, k:1, vi:6, wi:9, si:4
dp[31]:36, k:2, vi:6, wi:9, si:4
dp[31]:42, k:3, vi:6, wi:9, si:4
dp[31]:42, k:4, vi:6, wi:9, si:4
dp[30]:33, k:1, vi:6, wi:9, si:4
dp[30]:36, k:2, vi:6, wi:9, si:4
dp[30]:42, k:3, vi:6, wi:9, si:4
dp[30]:42, k:4, vi:6, wi:9, si:4
dp[29]:33, k:1, vi:6, wi:9, si:4
dp[29]:36, k:2, vi:6, wi:9, si:4
